"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences"
"Cocconeis sp.","",339306,"Chromista","Ochrophyta","","Bacillariophyceae","Cocconeidales","","","","Cocconeidaceae","Cocconeis","","","","genus","","","WEBBERETAL2022:18","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Cocconeis sp.","",339306,"Chromista","Ochrophyta","","Bacillariophyceae","Cocconeidales","","","","Cocconeidaceae","Cocconeis","","","","genus","","","WEBBERETAL2022:19","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Cocconeis sp.","",339306,"Chromista","Ochrophyta","","Bacillariophyceae","Cocconeidales","","","","Cocconeidaceae","Cocconeis","","","","genus","","","WEBBERETAL2022:65","Webber et al. 2022","","Mark Webber, Siobhan Schenck & Arjan van Asselt","","",2020-11-15,"2020","11","15","MaterialSample","Montague Harbour Marine Provincial Park (Hulq'umi'num: 'Sumnuw')","","Galiano Island","British Columbia","Canada","CA","48.9007144304362","-123.4079060638","50","","","Coordinates mapped based on precise location of study area","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium fragile","Hariot",67555,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","fragile","","species","UBC","","A57498","","1237668","Michael W. Hawkes","MWH 77-19","",1977-11-27,"1977","11","27","PreservedSpecimen","S. Gulf Islands, Porlier Pass, Galiano Island.","","Galiano Island","British Columbia","Canada","CA","49.016667","-123.583333","","Crystal Kwong","","","","","","","present","","-40 ft. to surface.","","","","unlisted","unlisted","","","","","",""
"Codium fragile","Hariot",67555,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","fragile","","species","PMLS","","PMLS2021:53","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-02-17,"2008","02","17","HumanObservation","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","96","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium fragile","Hariot",67555,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","fragile","","species","PMLS","","PMLS2021:76","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-10-05,"2008","10","05","HumanObservation","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","85","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium fragile","Hariot",67555,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","fragile","","species","PMLS","","PMLS2021:92","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-02-14,"2009","02","14","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","92","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium fragile","Hariot",67555,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","fragile","","species","PMLS","","PMLS2021:111","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-10-10,"2009","10","10","HumanObservation","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","42","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium fragile","Hariot",67555,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","fragile","","species","PMLS","","PMLS2021:167","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2016-07-24,"2016","07","24","HumanObservation","Spanish Hills wall","","Galiano Island","British Columbia","Canada","CA","48.995018","-123.584696","100","","","","","","79","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:6","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",1994-10-22,"1994","10","22","HumanObservation","Alcala Point","","Galiano Island","British Columbia","Canada","CA","49.002312","-123.590188","100","","","","","","82","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:15","Pacific Marine Life Survey Dive Records","","Charlie Gibbs","","",1996-02-25,"1996","02","25","HumanObservation","Baines Bay","","Galiano Island","British Columbia","Canada","CA","49.005156","-123.585939","100","","","","","","72","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:25","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2005-12-10,"2005","12","10","HumanObservation","Virago Point","","Galiano Island","British Columbia","Canada","CA","49.00942","-123.58796","100","","","","","","80","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:32","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-09-29,"2006","09","29","HumanObservation","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","82","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:59","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-03-07,"2008","03","07","HumanObservation","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","55","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:63","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-04-27,"2008","04","27","HumanObservation","Walker Rock","","Galiano Island","British Columbia","Canada","CA","48.92833","-123.50483","100","","","","","","110","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:66","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-05-30,"2008","05","30","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","54","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:73","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-08-29,"2008","08","29","HumanObservation","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","85","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:78","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-10-06,"2008","10","06","HumanObservation","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","63","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:89","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-01-30,"2009","01","30","HumanObservation","Outer Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.01667","-123.57167","100","","","","","","61","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:90","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-02-08,"2009","02","08","HumanObservation","Outer Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.01667","-123.57167","100","","","","","","90","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:94","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-02-14,"2009","02","14","HumanObservation","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","75","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:103","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-04-13,"2009","04","13","HumanObservation","Alcala Point Reefs","","Galiano Island","British Columbia","Canada","CA","49.005","-123.59","100","","","","","","71","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:113","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-10-11,"2009","10","11","HumanObservation","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","45","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:137","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2011-11-18,"2011","11","18","HumanObservation","Virago Point","","Galiano Island","British Columbia","Canada","CA","49.00942","-123.58796","100","","","","","","76","","present","","","","","","unlisted","unlisted","","","","","",""
"Codium setchellii","N.L.Gardner",117776,"Plantae","Chlorophyta","","Ulvophyceae","Bryopsidales","","","","Codiaceae","Codium","","setchellii","","species","PMLS","","PMLS2021:165","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2016-03-27,"2016","03","27","HumanObservation","Spanish Hills wall","","Galiano Island","British Columbia","Canada","CA","48.995018","-123.584696","100","","","","","","83","","present","","","","","","unlisted","unlisted","","","","","",""
"Colpomenia peregrina","Sauvageau",129737,"Chromista","Ochrophyta","","Phaeophyceae","Scytosiphonales","","","","Scytosiphonaceae","Colpomenia","","peregrina","","species","iNaturalist","","5620543","","","tyrelfroese","","",2017-04-08,"2017","04","08","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.8852629977","-123.321211338","61","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Colpomenia peregrina","Sauvageau",129737,"Chromista","Ochrophyta","","Phaeophyceae","Scytosiphonales","","","","Scytosiphonaceae","Colpomenia","","peregrina","","species","iNaturalist","","31255711","","","sarahs77","","",2019-08-21,"2019","08","21","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9102866667","-123.374925","12","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Colpomenia peregrina","Sauvageau",129737,"Chromista","Ochrophyta","","Phaeophyceae","Scytosiphonales","","","","Scytosiphonaceae","Colpomenia","","peregrina","","species","iNaturalist","","3734842","","","Lauren Magner","","",2015-08-28,"2015","08","28","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.929413","-123.475513","58","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Colpomenia peregrina","Sauvageau",129737,"Chromista","Ochrophyta","","Phaeophyceae","Scytosiphonales","","","","Scytosiphonaceae","Colpomenia","","peregrina","","species","iNaturalist","","32022418","","","Andrew Simon","","",2019-08-29,"2019","08","29","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.8987815432","-123.4087401307","73","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Colpomenia peregrina","Sauvageau",129737,"Chromista","Ochrophyta","","Phaeophyceae","Scytosiphonales","","","","Scytosiphonaceae","Colpomenia","","peregrina","","species","iNaturalist","","128941874","","","Dave Zeuss Cochrane","","",2022-07-31,"2022","07","31","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9232245724","-123.4594690005","31","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Colpomenia peregrina","Sauvageau",129737,"Chromista","Ochrophyta","","Phaeophyceae","Scytosiphonales","","","","Scytosiphonaceae","Colpomenia","","peregrina","","species","PMLS","","PMLS2021:313","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-09-28,"2006","09","28","HumanObservation","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","62","","present","","","","","","unlisted","unlisted","","","","","",""
"Congregatocarpus kurilensis","(Ruprecht) M.J.Wynne",1424968,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Ceramiales","","","","Delesseriaceae","Congregatocarpus","","kurilensis","","species","PMLS","","PMLS2021:1200","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-09-29,"2006","09","29","HumanObservation","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","82","","present","","","","","","unlisted","unlisted","","","","","",""
"Constantinea simplex","Setchell",345231,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Gigartinales","","","","Dumontiaceae","Constantinea","","simplex","","species","iNaturalist","","36661545","","","penelopebridge","","",2019-12-09,"2019","12","09","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.877619","-123.316563","21","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Constantinea simplex","Setchell",345231,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Gigartinales","","","","Dumontiaceae","Constantinea","","simplex","","species","PMLS","","PMLS2021:1067","Pacific Marine Life Survey Dive Records","","Charlie Gibbs","","",1995-02-24,"1995","02","24","HumanObservation","Alcala Point","","Galiano Island","British Columbia","Canada","CA","49.002312","-123.590188","100","","","","","","58","","present","","","","","","unlisted","unlisted","","","","","",""
"Constantinea simplex","Setchell",345231,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Gigartinales","","","","Dumontiaceae","Constantinea","","simplex","","species","PMLS","","PMLS2021:1070","Pacific Marine Life Survey Dive Records","","Charlie Gibbs","","",1995-02-25,"1995","02","25","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","96","","present","","","","","","unlisted","unlisted","","","","","",""
"Constantinea simplex","Setchell",345231,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Gigartinales","","","","Dumontiaceae","Constantinea","","simplex","","species","PMLS","","PMLS2021:1073","Pacific Marine Life Survey Dive Records","","Charlie Gibbs","","",1995-02-25,"1995","02","25","HumanObservation","Alcala Point","","Galiano Island","British Columbia","Canada","CA","49.002312","-123.590188","100","","","","","","69","","present","","","","","","unlisted","unlisted","","","","","",""
"Constantinea simplex","Setchell",345231,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Gigartinales","","","","Dumontiaceae","Constantinea","","simplex","","species","PMLS","","PMLS2021:1419","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-03-01,"2008","03","01","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","102","","present","","","","","","unlisted","unlisted","","","","","",""
"Constantinea simplex","Setchell",345231,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Gigartinales","","","","Dumontiaceae","Constantinea","","simplex","","species","PMLS","","PMLS2021:1479","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-05-30,"2008","05","30","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","54","","present","","","","","","unlisted","unlisted","","","","","",""
"Constantinea simplex","Setchell",345231,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Gigartinales","","","","Dumontiaceae","Constantinea","","simplex","","species","PMLS","","PMLS2021:1529","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-08-29,"2008","08","29","HumanObservation","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","85","","present","","","","","","unlisted","unlisted","","","","","",""
"Constantinea simplex","Setchell",345231,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Gigartinales","","","","Dumontiaceae","Constantinea","","simplex","","species","PMLS","","PMLS2021:1698","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-03-07,"2009","03","07","HumanObservation","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","73","","present","","","","","","unlisted","unlisted","","","","","",""
"Constantinea simplex","Setchell",345231,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Gigartinales","","","","Dumontiaceae","Constantinea","","simplex","","species","PMLS","","PMLS2021:1706","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-03-07,"2009","03","07","HumanObservation","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","73","","present","","","","","","unlisted","unlisted","","","","","",""
"Constantinea simplex","Setchell",345231,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Gigartinales","","","","Dumontiaceae","Constantinea","","simplex","","species","PMLS","","PMLS2021:1758","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-03-20,"2009","03","20","HumanObservation","Dionisio Bay","","Galiano Island","British Columbia","Canada","CA","49.01333","-123.575","100","","","","","","56","","present","","","","","","unlisted","unlisted","","","","","",""
"Constantinea subulifera","Setchell",473053,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Gigartinales","","","","Dumontiaceae","Constantinea","","subulifera","","species","iNaturalist","","25927075","","","Bridgette Clarkston","","",2019-05-05,"2019","05","05","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.8999799022","-123.341911122","","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Constantinea subulifera","Setchell",473053,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Gigartinales","","","","Dumontiaceae","Constantinea","","subulifera","","species","PMLS","","PMLS2021:2221","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2016-02-07,"2016","02","07","HumanObservation","Galiano Conservancy shore","","Galiano Island","British Columbia","Canada","CA","48.95115","-123.53298","100","","","","","","45","","present","","","","","","unlisted","unlisted","","","","","",""
"Corallina officinalis var. chilensis","Linnaeus",345230,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Corallinales","","","","Corallinaceae","Corallina","","officinalis","chilensis","varietas","PMLS","","PMLS2021:1165","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-09-28,"2006","09","28","HumanObservation","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","62","","present","","","","","","unlisted","unlisted","","","","","",""
"Corallina vancouveriensis","Yendo",126448,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Corallinales","","","","Corallinaceae","Corallina","","vancouveriensis","","species","PMLS","","PMLS2021:1066","Pacific Marine Life Survey Dive Records","","Charlie Gibbs","","",1995-02-24,"1995","02","24","HumanObservation","Alcala Point","","Galiano Island","British Columbia","Canada","CA","49.002312","-123.590188","100","","","","","","58","","present","","","","","","unlisted","unlisted","","","","","",""
"Corallina vancouveriensis","Yendo",126448,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Corallinales","","","","Corallinaceae","Corallina","","vancouveriensis","","species","PMLS","","PMLS2021:1521","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-08-29,"2008","08","29","HumanObservation","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","85","","present","","","","","","unlisted","unlisted","","","","","",""
"Corallina vancouveriensis","Yendo",126448,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Corallinales","","","","Corallinaceae","Corallina","","vancouveriensis","","species","PMLS","","PMLS2021:1553","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-10-06,"2008","10","06","HumanObservation","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","63","","present","","","","","","unlisted","unlisted","","","","","",""
"Corallina vancouveriensis","Yendo",126448,"Plantae","Rhodophyta","Eurhodophytina","Florideophyceae","Corallinales","","","","Corallinaceae","Corallina","","vancouveriensis","","species","PMLS","","PMLS2021:1876","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-11-14,"2009","11","14","HumanObservation","Outer Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.01667","-123.57167","100","","","","","","81","","present","","","","","","unlisted","unlisted","","","","","",""
"Corethron hystrix","Hensen",484134,"Chromista","Ochrophyta","","Bacillariophyceae","Corethrales","","","","Corethraceae","Corethron","","hystrix","","species","iNaturalist","","49988677","","","Mark Webber","","",2006-01-12,"2006","01","12","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.8761832199","-123.3134937286","110","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Corethron hystrix","Hensen",484134,"Chromista","Ochrophyta","","Bacillariophyceae","Corethrales","","","","Corethraceae","Corethron","","hystrix","","species","iNaturalist","","49989060","","","Mark Webber","","",2006-01-06,"2006","01","06","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9945029987","-123.5851478577","50","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Corethron hystrix","Hensen",484134,"Chromista","Ochrophyta","","Bacillariophyceae","Corethrales","","","","Corethraceae","Corethron","","hystrix","","species","iNaturalist","","49989452","","","Mark Webber","","",2006-01-21,"2006","01","21","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9940243047","-123.585577105","110","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Coscinodiscus granii","L.F. Gough",570485,"Chromista","Ochrophyta","","Bacillariophyceae","Coscinodiscales","","","","Coscinodiscaceae","Coscinodiscus","","granii","","species","iNaturalist","","9290897","","","Mark Webber","","",2010-09-07,"2010","09","07","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.995526","-123.586344","87","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Coscinodiscus granii","L.F. Gough",570485,"Chromista","Ochrophyta","","Bacillariophyceae","Coscinodiscales","","","","Coscinodiscaceae","Coscinodiscus","","granii","","species","iNaturalist","","9291001","","","Mark Webber","","",2009-08-02,"2009","08","02","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.994333","-123.586196","174","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Coscinodiscus radiatus","Ehrenberg",424382,"Chromista","Ochrophyta","","Bacillariophyceae","Coscinodiscales","","","","Coscinodiscaceae","Coscinodiscus","","radiatus","","species","iNaturalist","","40702227","","","Mark Webber","","",2019-10-09,"2019","10","09","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.995537","-123.586053","","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Coscinodiscus radiatus","Ehrenberg",424382,"Chromista","Ochrophyta","","Bacillariophyceae","Coscinodiscales","","","","Coscinodiscaceae","Coscinodiscus","","radiatus","","species","iNaturalist","","40703800","","","Mark Webber","","",2011-12-16,"2011","12","16","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9947212662","-123.5846114159","43","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Coscinodiscus radiatus","Ehrenberg",424382,"Chromista","Ochrophyta","","Bacillariophyceae","Coscinodiscales","","","","Coscinodiscaceae","Coscinodiscus","","radiatus","","species","iNaturalist","","40704549","","","Mark Webber","","",2009-12-15,"2009","12","15","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9947352955","-123.584590506","22","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Coscinodiscus radiatus","Ehrenberg",424382,"Chromista","Ochrophyta","","Bacillariophyceae","Coscinodiscales","","","","Coscinodiscaceae","Coscinodiscus","","radiatus","","species","iNaturalist","","126984540","","","Andrew Simon","","",2022-06-25,"2022","06","25","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","49.0071459711","-123.6010045065","763","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Coscinodiscus wailesii","Gran & Angst",549788,"Chromista","Ochrophyta","","Bacillariophyceae","Coscinodiscales","","","","Coscinodiscaceae","Coscinodiscus","","wailesii","","species","iNaturalist","","44884072","","","Mark Webber","","",2019-09-18,"2019","09","18","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9883561769","-123.5780235584","56","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Coscinodiscus wailesii","Gran & Angst",549788,"Chromista","Ochrophyta","","Bacillariophyceae","Coscinodiscales","","","","Coscinodiscaceae","Coscinodiscus","","wailesii","","species","iNaturalist","","44891483","","","Mark Webber","","",2019-11-24,"2019","11","24","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9945311568","-123.585062027","27","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Coscinodiscus wailesii","Gran & Angst",549788,"Chromista","Ochrophyta","","Bacillariophyceae","Coscinodiscales","","","","Coscinodiscaceae","Coscinodiscus","","wailesii","","species","iNaturalist","","44895228","","","Mark Webber","","",2019-11-24,"2019","11","24","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9947166995","-123.5847729702","21","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Coscinodiscus wailesii","Gran & Angst",549788,"Chromista","Ochrophyta","","Bacillariophyceae","Coscinodiscales","","","","Coscinodiscaceae","Coscinodiscus","","wailesii","","species","iNaturalist","","127062743","","","Andrew Simon","","",2022-06-25,"2022","06","25","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","49.007146","-123.601005","763","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
"Costaria costata","(C. Agardh) De A. Saunders",125877,"Chromista","Ochrophyta","","Phaeophyceae","Laminariales","","","","Laminariaceae","Costaria","","costata","","species","iNaturalist","","5620533","","","tyrelfroese","","",2017-04-08,"2017","04","08","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.8852629977","-123.321211338","61","","","","","","","","present","","","","","","unlisted","unlisted","","","","","",""
