DB Number,Class,Order,Family,Subfamily,Genus,Species,Sp. Auth,Sex,Country,Prov,Location 1,Location 2,Location 3,Latitude,Longitude,Day,Month,Year,Collector,Habitat,Elevation,Collection Data,Additional Info,Determiner,Determiner Date,Storage
CREC-12406,Insecta,Hymenoptera,Formicidae,Formicinae,Formica,sp.,,3f,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12407,Insecta,Hymenoptera,Formicidae,Formicinae,Formica,sp.,,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12408,Insecta,Hymenoptera,Formicidae,Formicinae,Formica,sp.,,2f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,"under dry, rotting log",,,,C.G. Ratzlaff,2023,Pinned
CREC-12412,Insecta,Hymenoptera,Formicidae,Formicinae,Lasius,brevicornis,Emery,3f,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,under wood,,,New species for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12410,Insecta,Hymenoptera,Formicidae,Formicinae,Lasius,pallitarsis,(Provancher),2f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,"under dry, rotting log",,,,C.G. Ratzlaff,2023,Pinned
CREC-12413,Insecta,Hymenoptera,Formicidae,Myrmicinae,Temnothorax,nevadensis,(Wheeler),f,Canada,BC,Galiano I.,Hunterston Farm,,48.9455,-123.5118,27,5,2023,C.G. Ratzlaff,under log,,,,C.G. Ratzlaff,2023,Pinned
CREC-12442,Insecta,Hymenoptera,Halictidae,,Lasioglossum,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12443,Insecta,Hymenoptera,Halictidae,,Lasioglossum,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12444,Insecta,Hymenoptera,Halictidae,,Lasioglossum,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12468,Insecta,Hymenoptera,Ichneumonidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,,,Pinned
CREC-12437,Insecta,Hymenoptera,Megachilidae,,Coelioxys,rufitarsis,Smith,m,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12436,Insecta,Hymenoptera,Megachilidae,,Megachile,perihirta,Cockerell,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12451,Insecta,Hymenoptera,Megastigmidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,beat from western redcedar,,,New family for Galiano,,,Pinned
CREC-12429,Insecta,Hymenoptera,Pompilidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,,,,,,,Pinned
CREC-12460,Insecta,Hymenoptera,Pteromalidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,beat from Douglas fir,,,,,,Pinned
CREC-12461,Insecta,Hymenoptera,Pteromalidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Garry oak,,,,,,Pinned
CREC-12452,Insecta,Hymenoptera,Torymidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Garry oak,,,New family for Galiano,,,Pinned
CREC-12465,Insecta,Hymenoptera,,,,Chalcidoidea,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Garry oak,,,,,,Pinned
CREC-12563,Insecta,Lepidoptera,Adelidae,,Adela,septentrionella,Walsingham,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9433,-123.5118,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12564,Insecta,Lepidoptera,Adelidae,,Adela,septentrionella,Walsingham,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9459,-123.5137,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12565,Insecta,Lepidoptera,Adelidae,,Adela,septentrionella,Walsingham,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,C.G. Ratzlaff,2023,Pinned
CREC-12559,Insecta,Lepidoptera,Geometridae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,C.G. Ratzlaff,2023,Pinned
CREC-12560,Insecta,Lepidoptera,Geometridae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,C.G. Ratzlaff,2023,Pinned
CREC-12241,Insecta,Lepidoptera,,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,C.G. Ratzlaff,2023,Pinned
CREC-12532,Insecta,Neuroptera,Chrysopidae,,Chrysoperla,carnea complex,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Garry oak,,,,C.G. Ratzlaff,2023,Pinned
CREC-12535,Insecta,Neuroptera,Chrysopidae,,Meleoma,dolichartha,(Navas),m,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Douglas fir,,,,C.G. Ratzlaff,2023,Pinned
CREC-12536,Insecta,Neuroptera,Hemerobiidae,,Hemerobius,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Douglas fir,,,,C.G. Ratzlaff,2023,Pinned
CREC-12542,Insecta,Odonata,,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12545,Insecta,Psocodea,,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,beat from western redcedar,,,,,,Pinned
CREC-12546,Insecta,Psocodea,,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,beat from western redcedar,,,,,,Pinned
CREC-12537,Insecta,Raphidioptera,Raphidiidae,,Agulla,herbsti,(E.-P.),f,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Douglas fir,,,,C.G. Ratzlaff,2023,Pinned
