scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,reportingStatus,observation,firstReported,firstReportedBy,Collection.List,firstReportedCollectionNumber,firstReportedGBIF,firstObservediNat,firstObservedBy,firstObservedID,notes,ID,statsCode
Cyanea ferruginea,"Eschscholtz, 1829",,lion's mane,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Cyaneidae,,,Cyanea,ferruginea,NA,,NA,native,unlisted,NA,confirmed,observed,1999-10-02,Andy Lamb,PMLS,,NA,2005-08-08,Karolle Wall,iNat:97172675,reported as Cyanea capillata,786996,CNI
Cyanoplax dentiens,"(Gould, 1846)",,Gould’s baby chiton,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,Mopalioidea,Tonicellidae,Tonicellinae,,Cyanoplax,dentiens,NA,,NA,native,unlisted,NA,new 2017,observed,,,,,NA,2017-05-14,Scott Gilmore,iNat:6223676,,71241,MOL
Cylichna attonsa,"Carpenter, 1865",,deep trouble chalice-bubble,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Cylichnoidea,Cylichnidae,,,Cylichna,attonsa,NA,,NA,native,unlisted,NA,confirmed,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03321,1898288481,,,,,49792,MOL
Cymatogaster aggregata,"Gibbons, 1854",,shiner perch,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Cichliformes,,,Embiotocidae,,,Cymatogaster,aggregata,NA,,NA,native,SNR,NA,confirmed,observed,1982-06-09,K.D. Genereux,CMN,CMNFI 1985-0087.1,NA,2018-08-29,Tom Appleby,iNat:16014197,,98855,FIS
Cystodytes lobatus,"(Ritter, 1900)",,lobed compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polycitoridae,,,Cystodytes,lobatus,NA,,NA,native,unlisted,NA,reported,unobserved,1993-05-09,Charlie Gibbs,PMLS,,NA,,,,,339197,TUN
Dendraster excentricus,"(Eschscholtz, 1831)",,eccentric sand dollar,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Luminacea,Echinolampadacea,Scutelloida,Scutelloidea,Dendrasteridae,,,Dendraster,excentricus,NA,,NA,native,unlisted,NA,confirmed,observed,1964-12-07,,RBCM,976-01146-014,1898270561,2018-05-22,Karolle Wall,iNat:12744158,,117696,ECH
Dendrobeania lichenoides,"(Robertson, 1900)",,leaf crust bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,Dendrobeania,lichenoides,NA,,NA,native,unlisted,NA,confirmed,observed,1985-07-29,Andy Lamb,PMLS,,NA,2008-11-09,Neil McDaniel,iNat:97677174,,339213,LOP
Dendrobeania murrayana,"(Bean in Johnston, 1847)",,fan bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,Dendrobeania,murrayana,NA,,NA,native,unlisted,NA,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,NA,,,,,205170,LOP
Dendronotus albopunctatus,"Robilliard, 1972",,white-spotted dendronotid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,albopunctatus,NA,,NA,native,unlisted,NA,new 2015,observed,,,,,NA,2015-04-22,Karolle Wall,iNat:3705779,,50328,MOL
Dendronotus albus,"MacFarland, 1966",,white dendronotid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,albus,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,NA,2009-11-14,Karin Fletcher,iNat:68751256,,47773,MOL
Dendronotus iris,"J.G. Cooper, 1863",,giant nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,iris,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2011-09-12,Karolle Wall,iNat:3706371,,47706,MOL
Dendronotus kamchaticus,"Ekimova, Korshunova, Schepetov, Neretina, Sanamyan & Martynov, 2015",,white-tipped dendronotus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,kamchaticus,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-09,Karin Fletcher,iNat:68793267,,601888,MOL
Dendronotus robilliardi,"Korshunova, Sanamyan, Zimina, Fletcher & Martynov, 2016",,Robilliard's dendronotus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,robilliardi,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-08,Karin Fletcher,iNat:68751956,,882206,MOL
Dendronotus rufus,"O'Donoghue, 1921",,red dendronotid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,rufus,NA,,NA,native,unlisted,NA,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,NA,2009-07-19,Karolle Wall,iNat:97178764,,50393,MOL
Dendronotus subramosus,"MacFarland, 1966",,stubby-frond dendronotus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,subramosus,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-08,Karin Fletcher,iNat:68751945,,47771,MOL
Dendronotus venustus,"MacFarland, 1966",,branched dendronotus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,venustus,NA,,NA,native,unlisted,NA,new 2009,observed,,,,,NA,2009-07-09,Karolle Wall,iNat:97205564,,129995,MOL
Dermasterias imbricata,"(Grube, 1857)",,leather star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Asteropseidae,,,Dermasterias,imbricata,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2013-10-13,Peter Luckham,iNat:2975990,,63382,ECH
Desdimelita californica,"(Alderman, 1936)",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadzioidea,Melitidae,,,Desdimelita,californica,NA,,NA,native,unlisted,NA,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNC 2006-0611,NA,,,,,1128629,ART
Desdimelita microdentata,"Jarrett & Bousfield, 1996",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadzioidea,Melitidae,,,Desdimelita,microdentata,NA,,NA,native,unlisted,NA,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNC 2007-0102,NA,,,,,1128632,ART
Desmacella austini,"Lehnert, Conway, Barrie & Krautter, 2005",,thin encrusting Desmacella,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Desmacellida,,,Desmacellidae,,,Desmacella,austini,NA,,NA,native,unlisted,NA,new 2007,observed,,,,,NA,2007-10-23,Jackson W.F. Chu,iNat:59908535,,459736,POR
Diadumene lineata,"(Verrill, 1869)",,striped green sea anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Diadumenidae,,,Diadumene,lineata,NA,,NA,non-native,unlisted,NA,confirmed,observed,1859,Alexander Agassiz,"McMurrich,1921",,NA,2018-08-05,Kristian Sigvardsen,iNat:15156184,,81783,CNI
Diaperoforma californica,"(d'Orbigny, 1853)",,southern staghorn bryozoan,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,,,,,,Diaperoforma,californica,NA,,NA,native,unlisted,NA,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,NA,2023-06-27,"Dave ""Zeuss"" Cochrane",iNat:169897164,,345872,LOP
Diaphoreolis viridis,"(Forbes, 1840)",,green aeolid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Trinchesiidae,,,Diaphoreolis,viridis,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-09,Karin Fletcher,iNat:68793497,,632114,MOL
Diaphorodoris lirulatocauda,"Millen, 1985",,porcupine dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Calycidorididae,,,Diaphorodoris,lirulatocauda,NA,,NA,native,unlisted,NA,confirmed,observed,2008-05-30,Andy Lamb,PMLS,,NA,2016-05-15,Karolle Wall,iNat:3707594,,48630,MOL
Diaulula odonoghuei,"(Steinberg, 1963)",,spotted leopard dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,Diaulula,odonoghuei,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,NA,2014-04-08,Karin Fletcher,iNat:68751812,,508237,MOL
Didemnum carnulentum,"Ritter & Forsyth, 1917",,Pacific white crust,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,Didemnum,carnulentum,NA,,NA,native,unlisted,NA,reported,unobserved,1985-07-29,Andy Lamb,PMLS,,NA,,,,,344918,TUN
Didemnum vexillum,"Kott, 2002",,carpet sea squirt,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,Didemnum,vexillum,NA,,NA,non-native,unlisted,NA,reported,unobserved,2013-10-23,Andy Lamb,PMLS,,NA,,,,,126506,TUN
Diodora aspera,"(Rathke, 1833)",,rough keyhole limpet,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Lepetellida,,Fissurelloidea,Fissurellidae,Diodorinae,,Diodora,aspera,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2019-05-04,Norah Brown,iNat:24519360,,64148,MOL
Diopatra ornata,"Moore, 1911",,ornate tubeworm,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,Onuphidae,Onuphinae,,Diopatra,ornata,NA,,NA,native,unlisted,NA,confirmed,observed,1999-10-02,Andy Lamb,PMLS,,NA,2020-06-07,Jennifer Grant,iNat:49172988,,339286,WOR
Diplosoma listerianum,"(Milne-Edwards, 1841)",,gray encrusting compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,Diplosoma,listerianum,NA,,NA,cryoptogenic,unlisted,NA,confirmed,observed,1999-07-31,Charlie Gibbs,PMLS,,NA,2023-04-04,"Dave ""Zeuss"" Cochrane",iNat:153527836,,81778,TUN
Dirona albolineata,"MacFarland in Cockerell & Elliot, 1905",,frosted nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Dironidae,,,Dirona,albolineata,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2009-08-30,Karolle Wall,iNat:97178779,,47477,MOL
Dirona pellucida,"Volodchenko, 1941",,golden dirona,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Dironidae,,,Dirona,pellucida,NA,,NA,native,unlisted,NA,confirmed,observed,1973-09-21,Andy Lamb,PMLS,,NA,2009-11-14,Karin Fletcher,iNat:68751130,,50447,MOL
Discophyton rudyi,"(Verseveldt & van Ofwegen, 1992)",,white soft coral,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Malacalcyonacea,,,Discophytidae,,,Discophyton,rudyi,NA,,NA,native,unlisted,NA,reported,unobserved,1995-02-24,Charlie Gibbs,PMLS,,NA,,,,,460061,CNI
Discorsopagurus schmitti,"(Stevens, 1925)",,tubeworm hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Discorsopagurus,schmitti,NA,,NA,native,unlisted,NA,reported,unobserved,1986-09-30,,RBCM,986-00197-025,NA,,,,,459564,ART
Disporella separata,"Osburn, 1953",,purple encrusting bryozoan,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Rectangulata,,Lichenoporidae,,,Disporella,separata,NA,,NA,native,unlisted,NA,reported,unobserved,1997-04-15,Donna Gibbs,PMLS,,NA,,,,,465160,LOP
Distaplia occidentalis,"Bancroft, 1899",,mushroom compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Holozoidae,,,Distaplia,occidentalis,NA,,NA,native,unlisted,NA,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,NA,2019-05-04,Larry Taylor,iNat:30012080,,347339,TUN
Dodecaceria concharum,"Örsted, 1843",,coralline-encased filament-worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,Cirratulidae,,,Dodecaceria,concharum,NA,,NA,non-native,unlisted,NA,confirmed,observed,1999-07-31,Charlie Gibbs,PMLS,,NA,2023-06-24,"Dave ""Zeuss"" Cochrane",iNat:169325571,,464813,WOR
Dodecaceria pacifica,"(Fewkes, 1889)",,fringed filament-worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,Cirratulidae,,,Dodecaceria,pacifica,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2016-02-07,Peter Luckham,iNat:2763488,reported as Dodecaceria fewkesi,1500739,WOR
Doris montereyensis,"J.G. Cooper, 1863",,Monterey sea lemon,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Dorididae,,,Doris,montereyensis,NA,,NA,native,unlisted,NA,confirmed,observed,1968-08-02,Andy Lamb,PMLS,,NA,2014-04-08,Karin Fletcher,iNat:68751948,,47469,MOL
Doris odhneri,"(MacFarland, 1966)",,white nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Dorididae,,,Doris,odhneri,NA,,NA,native,unlisted,NA,confirmed,observed,1973-09-20,Andy Lamb,PMLS,,NA,2009-11-14,Karin Fletcher,iNat:68751131,,124210,MOL
Doryteuthis opalescens,"(Berry, 1911)",,California market squid,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Decapodiformes,Myopsida,,,Loliginidae,,,Doryteuthis,opalescens,NA,,NA,native,unlisted,NA,new 2008,observed,,,,,NA,2008-02-06,Karolle Wall,iNat:69186574,,153981,MOL
Doto amyra,"Er. Marcus, 1961",,hammerhead doto,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dotidae,,,Doto,amyra,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-08,Karin Fletcher,iNat:68751813,,47655,MOL
Doto columbiana,"O'Donoghue, 1921",,British Columbia doto,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dotidae,,,Doto,columbiana,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-09,Karin Fletcher,iNat:68793273,,47774,MOL
Echidnocerus cibarius,"White, 1842",,Puget Sound king crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Echidnocerus,cibarius,NA,,NA,native,unlisted,NA,confirmed,observed,1994-02-27,Charlie Gibbs,PMLS,,NA,2015-01-01,Peter Luckham,iNat:2797301,reported as Lopholithodes mandtii,1439280,ART
Echidnocerus foraminatus,"(Stimpson, 1859)",,brown box crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Echidnocerus,foraminatus,NA,,NA,native,unlisted,NA,confirmed,observed,2008-05-22,Jackson W.F. Chu,Chu (2010),,NA,2008-05-24,Jackson W.F. Chu,iNat:60467710,reported as Lopholithodes foraminatus,1439282,ART
Ectopleura crocea,"(Agassiz, 1862)",,bushy pink-mouth hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Tubulariidae,,,Ectopleura,crocea,NA,,NA,native,unlisted,NA,reported,unobserved,1993-08-16,Andy Lamb,PMLS,,NA,,,,reported as Pinauay crocea,324497,CNI
Ectopleura marina,"(Torrey, 1902)",,solitary pink-mouth hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Tubulariidae,,,Ectopleura,marina,NA,,NA,native,unlisted,NA,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,NA,2019-05-04,Isabelle M. Côté,iNat:129284358,reported as Pinauay marina,492142,CNI
Elassochirus gilli,"(Benedict, 1892)",,orange hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Elassochirus,gilli,NA,,NA,native,unlisted,NA,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,NA,,,,,459568,ART
Elassochirus tenuimanus,"(Dana, 1851)",,widehand hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Elassochirus,tenuimanus,NA,,NA,native,unlisted,NA,reported,unobserved,1993-08-16,Andy Lamb,PMLS,,NA,,,,,459569,ART
Embiotoca lateralis,"Agassiz, 1854",,striped seaperch,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Cichliformes,,,Embiotocidae,,,Embiotoca,lateralis,NA,,NA,native,SNR,NA,confirmed,observed,1982-06-08,Claudia E. Kasserra,CMN,CMNFI 1985-0086.1,NA,2020-05-07,Penelope Bridge,iNat:45278748,,117555,FIS
Emplectonema gracile,"(Johnston, 1837)",,green ribbon worm,Animalia,Nemertea,,,Hoplonemertea,,,Monostilifera,Eumonostilifera,,Emplectonematidae,,,Emplectonema,gracile,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,NA,2021-03-17,Andrew Simon,iNat:72321492,,337279,WOR
Engraulis mordax,"Girard, 1854",,northern anchovy,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Clupeiformes,Clupeoidei,,Engraulidae,Engraulinae,,Engraulis,mordax,NA,,NA,native,SNR,NA,confirmed,observed,2006-12-02,Charlie Gibbs,PMLS,,NA,2021-06-09,Elsa Hunter,iNat:82359831,,63770,FIS
Ennucula tenuis,"(Montagu, 1808)",,smooth nutclam,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculida,,Nuculoidea,Nuculidae,,,Ennucula,tenuis,NA,,NA,native,unlisted,NA,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03318,1898321136,,,,,202045,MOL
Enophrys bison,"(Girard, 1854)",,buffalo sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Psychrolutidae,Myoxocephalinae,,Enophrys,bison,NA,,NA,native,SNR,NA,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,NA,2013-10-13,Peter Luckham,iNat:2976525,,117536,FIS
Enteroctopus dofleini,"(Wülker, 1910)",,giant pacific octopus,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Octopodiformes,Octopoda,Incirrata,Octopodoidea,Enteroctopodidae,,,Enteroctopus,dofleini,NA,,NA,native,unlisted,NA,confirmed,observed,1993-05-09,Charlie Gibbs,PMLS,,NA,2007-10-23,Jackson W.F. Chu,iNat:8459014,,48863,MOL
Entodesma navicula,"(Adams & Reeve, 1850)",,rock entodesma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Pandoroidea,Lyonsiidae,,,Entodesma,navicula,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,NA,2019-05-04,Isabelle M. Côté,iNat:129284392,,339164,MOL
Epiactis lisbethae,"Fautin & Chia, 1986",,brooding anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Epiactis,lisbethae,NA,,NA,native,unlisted,NA,reported,unobserved,1999-07-31,Charlie Gibbs,PMLS,,NA,,,,,429853,CNI
Epiactis prolifera,"Verrill, 1869",,proliferating anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Epiactis,prolifera,NA,,NA,native,unlisted,NA,reported,unobserved,1973-09-20,Andy Lamb,PMLS,,NA,,,,,49060,CNI
Epigamia cf. alexandri,,,noble necklace worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Autolytinae,,Epigamia,alexandri,NA,,NA,non-native,unlisted,NA,reported,unobserved,1986-09-30,,RBCM,986-00197-018,1898293180,,,,,1136117,WOR
Epigamia magna,"(Berkeley, 1923)",,necklace worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Autolytinae,Autolytini,Epigamia,magna,NA,,NA,,,NA,new 2022,observed,,,,,NA,2022-02-22,Catiemac,iNat:107323091,,628178,WOR
Epitonium hindsii,"(Carpenter, 1856)",,,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,,,Epitonioidea,Epitoniidae,,,Epitonium,hindsii,NA,,NA,native,unlisted,NA,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-019,1898294275,,,,,893102,MOL
Epitonium indianorum,"(Carpenter, 1865)",,money wentletrap,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,,,Epitonioidea,Epitoniidae,,,Epitonium,indianorum,NA,,NA,native,unlisted,NA,reported,unobserved,2008-07-19,Andy Lamb,PMLS,,NA,,,,,129921,MOL
Epizoanthus scotinus,"Wood, 1957",,orange zoanthid,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Zoantharia,Macrocnemina,,Epizoanthidae,,,Epizoanthus,scotinus,NA,,NA,native,unlisted,NA,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,NA,2021-03-02,"Dave ""Zeuss"" Cochrane",iNat:70487014,,429859,CNI
Eschrichtius robustus,"(Lilljeborg, 1861)",,grey whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Eschrichtiidae,,,Eschrichtius,robustus,NA,,NA,native,S3 (2006),NA,reported,unobserved,2001-04-15,Amy Rowley,BCCSN,,NA,,,,,41478,MAM
Eualus butleri,"Jensen, 2004",,sponge eualid,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Eualus,butleri,NA,,NA,native,unlisted,NA,reported,unobserved,2016-01-23,Andy Lamb,PMLS,,NA,,,,,459508,ART
Eubranchus rupium,"(Møller, 1842)",,olive aeolid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Eubranchidae,,,Eubranchus,rupium,NA,,NA,native,unlisted,NA,reported,unobserved,2012-10-06,Andy Lamb,PMLS,,NA,,,,,533047,MOL
Eubranchus rustyus,"(Er. Marcus, 1961)",,homely aeolid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Eubranchidae,,,Eubranchus,rustyus,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-08,Karin Fletcher,iNat:68793032,,50471,MOL
Eubranchus sanjuanensis,"Roller, 1972",,San Juan aeolid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Eubranchidae,,,Eubranchus,sanjuanensis,NA,,NA,native,unlisted,NA,new 2014,observed,,,,,NA,2014-04-08,Karin Fletcher,iNat:68751951,,544965,MOL
Eudistoma molle,"(Ritter, 1900)",,red-dotted compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polycitoridae,,,Eudistoma,molle,NA,,NA,native,unlisted,NA,reported,unobserved,1994-09-10,Andy Lamb,PMLS,,NA,,,,,448127,TUN
Eudistoma purpuropunctatum,"Lambert, 1989",,mauve lobed compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polycitoridae,,,Eudistoma,purpuropunctatum,NA,,NA,native,unlisted,NA,reported,unobserved,2008-11-12,Andy Lamb,PMLS,,NA,,,,,492675,TUN
Eudistylia vancouveri,"(Kinberg, 1866)",,Vancouver feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Eudistylia,vancouveri,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2015-01-01,Peter Luckham,iNat:2797277,,84864,WOR
Eulalia sp.,,,,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Phyllodociformia,,Phyllodocidae,Eteoninae,,Eulalia,,NA,,NA,native,unlisted,NA,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-024,1898322763,,,,,347275,WOR
Eumetopias jubatus,"(Schreber, 1776)",,Steller sea lion,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,Phocoidea,Otariidae,,,Eumetopias,jubatus,NA,,NA,native,"S3B,S4N (2013)",NA,confirmed,observed,1985-12-07,Andy Lamb,Ocean Wise,,NA,2016-05-11,Karen Steve Smith,iNat:16407423,,41755,MAM
Eupentacta quinquesemita,"(Selenka, 1867)",,stiff-footed sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Sclerodactylidae,,,Eupentacta,quinquesemita,NA,,NA,native,unlisted,NA,confirmed,observed,1986-04-08,,RBCM,986-00191-030,NA,2016-02-07,Peter Luckham,iNat:2763482,,51695,ECH
Euphausia sp.,,,krill,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Euphausiacea,,,Euphausiidae,,,Euphausia,,NA,,NA,,,NA,reported,unobserved,1973-09-21,Andy Lamb,PMLS,,NA,,,,,195136,ART
Euphysa sp.,,,tiny red sausage jellies,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Corymorphidae,,,Euphysa,,NA,,NA,,,NA,confirmed,observed,1993-05-09,Charlie Gibbs,PMLS,,NA,2013-05-09,Karolle Wall,iNat:4052450,,247163,CNI
Euplokamis dunlapae,"Mills, 1987",,oval sea gooseberry,Animalia,Ctenophora,,,Tentaculata,,,Cydippida,,,Euplokamididae,,,Euplokamis,dunlapae,NA,,NA,native,unlisted,NA,confirmed,observed,1995-02-25,Charlie Gibbs,PMLS,,NA,2021-02-19,"Dave ""Zeuss"" Cochrane",iNat:69845920,,873875,CNI
